scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
realistic_2pct,topk_k2_d4,topk_budgeted,4,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4011751,0.3,11751,0,3049,11751,11404,12,10,0,555,1014,1014,6323,18.9,18.8,10819,9526,88.0
realistic_2pct,topk_k2_d6,topk_budgeted,6,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4012573,0.3,12573,0,3394,12573,12220,8,8,0,562,1014,1014,6953,18.9,18.8,11480,10220,89.0
realistic_2pct,topk_k4_d4,topk_budgeted,4,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4011452,0.3,11452,0,3049,11452,11104,12,12,0,553,1014,1014,6323,18.9,18.8,10524,9230,87.7
realistic_2pct,topk_k4_d6,topk_budgeted,6,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4012573,0.3,12573,0,3394,12573,12220,8,8,0,562,1014,1014,6953,18.9,18.8,11480,10220,89.0
realistic_2pct,hybrid_w2_k2_d4_c1,hybrid,4,0.1,2,2,1,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4013159,0.3,13159,0,3049,13159,12792,12,8,0,559,1014,1014,6319,18.9,18.8,12109,10820,89.4
realistic_2pct,hybrid_w2_k4_d4_c1,hybrid,4,0.1,2,4,1,dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.3,1.1,3.8,4012782,0.3,12782,0,3049,12782,12415,12,8,0,557,1014,1014,6319,18.9,18.8,11749,10462,89.0
overlap_4pct,vanilla_ec,baseline,,,,,,dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.3,0.0,18.6,562.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.7,-1,-1,-1.0
overlap_4pct,late_binding,baseline,,,,,,dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.5,10.2,213.2,5000000,25.0,1000000,150000,10158,1000000,798339,0,-1,-1,-1,-1,12,17374,26.7,27.4,-1,-1,-1.0
overlap_4pct,timeout_degraded_read,baseline,,,,,,dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.4,17.8,217.9,4180871,4.5,180871,24130,8685,180871,22910,0,-1,-1,-1,12,94,10549,28.6,28.7,-1,-1,-1.0
overlap_4pct,t28_default,default,12,0.05,0,0,0,dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.1,61.8,7.7,135.2,4018454,0.5,18454,0,6728,18454,17298,6,6,0,1189,770,770,8281,22.3,25.8,17344,15426,88.9
