name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_20pct_seed51_windowed_csv,slow_ratio_20pct,51,windowed,0,1,81,1,
slow_ratio_20pct_seed52_aggregate_csv_extended,slow_ratio_20pct,52,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed52_windowed_csv,slow_ratio_20pct,52,windowed,0,1,81,1,
slow_ratio_20pct_seed53_aggregate_csv_extended,slow_ratio_20pct,53,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed53_windowed_csv,slow_ratio_20pct,53,windowed,0,1,81,1,
slow_ratio_20pct_seed54_aggregate_csv_extended,slow_ratio_20pct,54,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed54_windowed_csv,slow_ratio_20pct,54,windowed,0,1,81,1,
slow_ratio_20pct_seed55_aggregate_csv_extended,slow_ratio_20pct,55,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed55_windowed_csv,slow_ratio_20pct,55,windowed,0,1,81,1,
slow_ratio_20pct_seed56_aggregate_csv_extended,slow_ratio_20pct,56,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed56_windowed_csv,slow_ratio_20pct,56,windowed,0,1,81,1,
slow_ratio_20pct_seed57_aggregate_csv_extended,slow_ratio_20pct,57,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed57_windowed_csv,slow_ratio_20pct,57,windowed,0,1,81,1,
slow_ratio_20pct_seed58_aggregate_csv_extended,slow_ratio_20pct,58,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed58_windowed_csv,slow_ratio_20pct,58,windowed,0,1,81,1,
slow_ratio_20pct_seed59_aggregate_csv_extended,slow_ratio_20pct,59,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed59_windowed_csv,slow_ratio_20pct,59,windowed,0,1,81,1,
slow_ratio_20pct_seed60_aggregate_csv_extended,slow_ratio_20pct,60,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed60_windowed_csv,slow_ratio_20pct,60,windowed,0,1,81,1,
slow_ratio_20pct_seed61_aggregate_csv_extended,slow_ratio_20pct,61,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed61_windowed_csv,slow_ratio_20pct,61,windowed,0,1,81,1,
slow_ratio_20pct_seed62_aggregate_csv_extended,slow_ratio_20pct,62,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed62_windowed_csv,slow_ratio_20pct,62,windowed,0,1,81,1,
slow_ratio_20pct_seed63_aggregate_csv_extended,slow_ratio_20pct,63,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed63_windowed_csv,slow_ratio_20pct,63,windowed,0,1,81,1,
slow_ratio_20pct_seed64_aggregate_csv_extended,slow_ratio_20pct,64,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed64_windowed_csv,slow_ratio_20pct,64,windowed,0,1,81,1,
slow_ratio_20pct_seed65_aggregate_csv_extended,slow_ratio_20pct,65,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed65_windowed_csv,slow_ratio_20pct,65,windowed,0,1,81,1,
slow_ratio_20pct_seed66_aggregate_csv_extended,slow_ratio_20pct,66,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed66_windowed_csv,slow_ratio_20pct,66,windowed,0,1,81,1,
slow_ratio_20pct_seed67_aggregate_csv_extended,slow_ratio_20pct,67,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed67_windowed_csv,slow_ratio_20pct,67,windowed,0,1,81,1,
