scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.0,17.6,216.9,4181302,4.5,181302,24274,8689,181302,22910,0,-1,-1,-1,56,155,10528,28.3,29.1,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,21.3,61.3,7.5,137.7,4018540,0.5,18540,0,6874,18540,17369,6,5,0,1211,971,971,8514,23.0,24.8,17456,15425,88.4
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.0,0.0,18.1,556.9,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.2,64.3,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.6,57.1,10.4,210.0,5000000,25.0,1000000,150000,10112,1000000,798418,0,-1,-1,-1,-1,19,17326,26.6,27.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.1,17.3,214.8,4180932,4.5,180932,24045,8706,180932,23105,0,-1,-1,-1,19,19,10621,28.1,28.5,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.3,61.3,7.2,134.8,4018543,0.5,18543,0,6752,18543,17402,6,6,0,1224,460,481,8444,22.6,24.4,17413,15432,88.6
dynamic_overlap_100d_4pct_hdd,100,46,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.6,0.0,18.0,556.1,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.4,64.6,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,46,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.6,56.8,10.0,211.6,5000000,25.0,1000000,150000,10141,1000000,798239,0,-1,-1,-1,-1,10,17464,27.0,27.2,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,46,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,49.7,17.3,216.1,4181479,4.5,181479,24428,8662,181479,22936,0,-1,-1,-1,10,10,10617,28.5,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,46,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.1,61.3,7.2,134.3,4018542,0.5,18542,0,6753,18542,17376,6,6,0,1204,910,910,8415,22.7,25.1,17385,15444,88.8
